,Column,year,id,artist and album name,release format,label,genre,subgenre,want,have
135533,74439,2020,35379541,Daniel Nervik - Bruk Meg!,CD,Not On Label,"Rock, Pop","Ballad, Pop Rock, Gospel",0,0
135534,74439,2020,35379541,Daniel Nervik - Bruk Meg!,Album,Not On Label,"Rock, Pop","Ballad, Pop Rock, Gospel",0,0
135555,74448,2020,17235769,Jaroslav Palkoska - Koncert Obchodní akademie 2019,Cassette,Not On Label,"Jazz, Pop, Classical, Folk, World, & Country","Baroque, Classical, Romantic, Ballad, Easy Listening, Swing, Folk, Holiday",0,1
135556,74448,2020,17235769,Jaroslav Palkoska - Koncert Obchodní akademie 2019,Album,Not On Label,"Jazz, Pop, Classical, Folk, World, & Country","Baroque, Classical, Romantic, Ballad, Easy Listening, Swing, Folk, Holiday",0,1
135557,74448,2020,17235769,Jaroslav Palkoska - Koncert Obchodní akademie 2019,Promo,Not On Label,"Jazz, Pop, Classical, Folk, World, & Country","Baroque, Classical, Romantic, Ballad, Easy Listening, Swing, Folk, Holiday",0,1
135565,74452,2020,15605694,Elvis* - The Alternate Golden Records Extended Play Collection,Vinyl,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",12,10
135566,74452,2020,15605694,Elvis* - The Alternate Golden Records Extended Play Collection,"7""","Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",12,10
135567,74452,2020,15605694,Elvis* - The Alternate Golden Records Extended Play Collection,45 RPM,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",12,10
135568,74452,2020,15605694,Elvis* - The Alternate Golden Records Extended Play Collection,EP,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",12,10
135569,74452,2020,15605694,Elvis* - The Alternate Golden Records Extended Play Collection,CD,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",12,10
135570,74452,2020,15605694,Elvis* - The Alternate Golden Records Extended Play Collection,Unofficial Release,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",12,10
135571,74452,2020,15605694,Elvis* - The Alternate Golden Records Extended Play Collection,Box Set,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",12,10
135572,74452,2020,15605694,Elvis* - The Alternate Golden Records Extended Play Collection,Limited Edition,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",12,10
135612,74468,2020,15476140,Elvis* - 100 Super Rocks,Box Set,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",10,8
135613,74468,2020,15476140,Elvis* - 100 Super Rocks,Compilation,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",10,8
135614,74468,2020,15476140,Elvis* - 100 Super Rocks,CD,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",10,8
